,index,Means per day,Schedule ,Beds,index_int,scenarios,Measure 
61,31.0_new_schedule,8.573142857142859, Baseline + weekends,45,31.0,"high_los, prop_low", Throughput
62,32.0,11.55873015873016, Baseline,50,32.0,"low_los, prop_high", Throughput
63,32.0_new_schedule,14.731650793650795, Baseline + weekends,50,32.0,"low_los, prop_high", Throughput
64,33.0,9.668698412698413, Baseline,55,33.0,"high_los, prop_low", Throughput
65,33.0_new_schedule,10.288984126984127, Baseline + weekends,55,33.0,"high_los, prop_low", Throughput
66,34.0,11.338095238095237, Baseline,60,34.0,"low_los, prop_high", Throughput
67,34.0_new_schedule,14.75079365079365, Baseline + weekends,60,34.0,"low_los, prop_high", Throughput
68,35.0,10.703492063492064, Baseline,65,35.0,"high_los, prop_low", Throughput
69,35.0_new_schedule,11.861777777777776, Baseline + weekends,65,35.0,"high_los, prop_low", Throughput
70,36.0,11.253968253968253, Baseline,70,36.0,"low_los, prop_high", Throughput
71,36.0_new_schedule,14.75079365079365, Baseline + weekends,70,36.0,"low_los, prop_high", Throughput
0,1.0,0.9078, Baseline,30,1.0,"high_los, prop_high", Utilisation
1,1.0_new_schedule,0.9441619047619048, Baseline + weekends,30,1.0,"high_los, prop_high", Utilisation
2,2.0,0.3727918367346939, Baseline,35,2.0,"low_los, prop_low", Utilisation
3,2.0_new_schedule,0.5000489795918367, Baseline + weekends,35,2.0,"low_los, prop_low", Utilisation
4,3.0,0.8940285714285714, Baseline,40,3.0,"high_los, prop_high", Utilisation
5,3.0_new_schedule,0.9430214285714286, Baseline + weekends,40,3.0,"high_los, prop_high", Utilisation
6,4.0,0.28749206349206347, Baseline,45,4.0,"low_los, prop_low", Utilisation
7,4.0_new_schedule,0.38662222222222226, Baseline + weekends,45,4.0,"low_los, prop_low", Utilisation
8,5.0,0.8753942857142858, Baseline,50,5.0,"high_los, prop_high", Utilisation
9,5.0_new_schedule,0.9377657142857142, Baseline + weekends,50,5.0,"high_los, prop_high", Utilisation
10,6.0,0.23723116883116882, Baseline,55,6.0,"low_los, prop_low", Utilisation
11,6.0_new_schedule,0.319651948051948, Baseline + weekends,55,6.0,"low_los, prop_low", Utilisation
12,7.0,0.8556999999999999, Baseline,60,7.0,"high_los, prop_high", Utilisation
13,7.0_new_schedule,0.931347619047619, Baseline + weekends,60,7.0,"high_los, prop_high", Utilisation
14,8.0,0.2015164835164835, Baseline,65,8.0,"low_los, prop_low", Utilisation
15,8.0_new_schedule,0.26554285714285714, Baseline + weekends,65,8.0,"low_los, prop_low", Utilisation
16,9.0,0.8187020408163266, Baseline,70,9.0,"high_los, prop_high", Utilisation
17,9.0_new_schedule,0.9222408163265308, Baseline + weekends,70,9.0,"high_los, prop_high", Utilisation
18,10.0,0.4352761904761905, Baseline,30,10.0,"low_los, prop_low", Utilisation
19,10.0_new_schedule,0.5877428571428571, Baseline + weekends,30,10.0,"low_los, prop_low", Utilisation
20,11.0,0.9056163265306122, Baseline,35,11.0,"high_los, prop_high", Utilisation
21,11.0_new_schedule,0.9418938775510204, Baseline + weekends,35,11.0,"high_los, prop_high", Utilisation
22,12.0,0.32292857142857145, Baseline,40,12.0,"low_los, prop_low", Utilisation
23,12.0_new_schedule,0.4379142857142857, Baseline + weekends,40,12.0,"low_los, prop_low", Utilisation
24,13.0,0.8893396825396825, Baseline,45,13.0,"high_los, prop_high", Utilisation
25,13.0_new_schedule,0.9395301587301588, Baseline + weekends,45,13.0,"high_los, prop_high", Utilisation
26,14.0,0.2613542857142857, Baseline,50,14.0,"low_los, prop_low", Utilisation
27,14.0_new_schedule,0.3464742857142857, Baseline + weekends,50,14.0,"low_los, prop_low", Utilisation
28,15.0,0.8685766233766233, Baseline,55,15.0,"high_los, prop_high", Utilisation
29,15.0_new_schedule,0.9336103896103897, Baseline + weekends,55,15.0,"high_los, prop_high", Utilisation
30,16.0,0.21557619047619048, Baseline,60,16.0,"low_los, prop_low", Utilisation
31,16.0_new_schedule,0.29120476190476186, Baseline + weekends,60,16.0,"low_los, prop_low", Utilisation
32,17.0,0.8382945054945057, Baseline,65,17.0,"high_los, prop_high", Utilisation
33,17.0_new_schedule,0.9270109890109891, Baseline + weekends,65,17.0,"high_los, prop_high", Utilisation
34,18.0,0.1854326530612245, Baseline,70,18.0,"low_los, prop_low", Utilisation
35,18.0_new_schedule,0.24573877551020404, Baseline + weekends,70,18.0,"low_los, prop_low", Utilisation
36,19.0,0.8939047619047619, Baseline,30,19.0,"high_los, prop_low", Utilisation
37,19.0_new_schedule,0.9367904761904763, Baseline + weekends,30,19.0,"high_los, prop_low", Utilisation
38,20.0,0.6477061224489796, Baseline,35,20.0,"low_los, prop_high", Utilisation
39,20.0_new_schedule,0.8159673469387756, Baseline + weekends,35,20.0,"low_los, prop_high", Utilisation
40,21.0,0.8736499999999999, Baseline,40,21.0,"high_los, prop_low", Utilisation
41,21.0_new_schedule,0.9311785714285714, Baseline + weekends,40,21.0,"high_los, prop_low", Utilisation
42,22.0,0.49579047619047617, Baseline,45,22.0,"low_los, prop_high", Utilisation
43,22.0_new_schedule,0.6712507936507937, Baseline + weekends,45,22.0,"low_los, prop_high", Utilisation
44,23.0,0.8544800000000001, Baseline,50,23.0,"high_los, prop_low", Utilisation
45,23.0_new_schedule,0.9258114285714286, Baseline + weekends,50,23.0,"high_los, prop_low", Utilisation
46,24.0,0.40685714285714286, Baseline,55,24.0,"low_los, prop_high", Utilisation
47,24.0_new_schedule,0.5532467532467532, Baseline + weekends,55,24.0,"low_los, prop_high", Utilisation
48,25.0,0.8157619047619048, Baseline,60,25.0,"high_los, prop_low", Utilisation
49,25.0_new_schedule,0.9169142857142857, Baseline + weekends,60,25.0,"high_los, prop_low", Utilisation
50,26.0,0.3436703296703297, Baseline,65,26.0,"low_los, prop_high", Utilisation
51,26.0_new_schedule,0.4655252747252748, Baseline + weekends,65,26.0,"low_los, prop_high", Utilisation
52,27.0,0.7610367346938776, Baseline,70,27.0,"high_los, prop_low", Utilisation
53,27.0_new_schedule,0.9008, Baseline + weekends,70,27.0,"high_los, prop_low", Utilisation
54,28.0,0.728152380952381, Baseline,30,28.0,"low_los, prop_high", Utilisation
55,28.0_new_schedule,0.8663333333333334, Baseline + weekends,30,28.0,"low_los, prop_high", Utilisation
56,29.0,0.8803102040816327, Baseline,35,29.0,"high_los, prop_low", Utilisation
57,29.0_new_schedule,0.9321632653061226, Baseline + weekends,35,29.0,"high_los, prop_low", Utilisation
58,30.0,0.5610071428571428, Baseline,40,30.0,"low_los, prop_high", Utilisation
59,30.0_new_schedule,0.7514857142857143, Baseline + weekends,40,30.0,"low_los, prop_high", Utilisation
60,31.0,0.8645079365079364, Baseline,45,31.0,"high_los, prop_low", Utilisation
61,31.0_new_schedule,0.9272190476190477, Baseline + weekends,45,31.0,"high_los, prop_low", Utilisation
62,32.0,0.4532228571428572, Baseline,50,32.0,"low_los, prop_high", Utilisation
63,32.0_new_schedule,0.6061771428571429, Baseline + weekends,50,32.0,"low_los, prop_high", Utilisation
64,33.0,0.8342753246753247, Baseline,55,33.0,"high_los, prop_low", Utilisation
65,33.0_new_schedule,0.919225974025974, Baseline + weekends,55,33.0,"high_los, prop_low", Utilisation
66,34.0,0.3676238095238095, Baseline,60,34.0,"low_los, prop_high", Utilisation
67,34.0_new_schedule,0.5033619047619048, Baseline + weekends,60,34.0,"low_los, prop_high", Utilisation
68,35.0,0.7923516483516484, Baseline,65,35.0,"high_los, prop_low", Utilisation
69,35.0_new_schedule,0.9080571428571429, Baseline + weekends,65,35.0,"high_los, prop_low", Utilisation
70,36.0,0.32131428571428566, Baseline,70,36.0,"low_los, prop_high", Utilisation
71,36.0_new_schedule,0.4379469387755103, Baseline + weekends,70,36.0,"low_los, prop_high", Utilisation
0,1.0,6.182380952380952, Baseline,30,1.0,"high_los, prop_high", Lost slots
1,1.0_new_schedule,10.347619047619048, Baseline + weekends,30,1.0,"high_los, prop_high", Lost slots
2,2.0,0.0, Baseline,35,2.0,"low_los, prop_low", Lost slots
3,2.0_new_schedule,0.009404761904761905, Baseline + weekends,35,2.0,"low_los, prop_low", Lost slots
4,3.0,4.822063492063492, Baseline,40,3.0,"high_los, prop_high", Lost slots
