weekday,sim_time,bed_utilisation_primary,bed_utilisation_revision,bed_utilisation,primary_arrivals,revision_arrivals,primary_bed_queue,revision_bed_queue,primary_mean_los,revision_mean_los,run
0,64.0,0.0,0.0,0.7243961352657006,12.222222222222221,3.888888888888889,0.2106751186917048,0.4422621339239283,3.300333333333333,4.686444444444444,5.5
1,65.0,0.0,0.0,0.9002415458937197,12.222222222222221,3.888888888888889,0.2066934798656563,0.43805171925366454,3.309222222222222,4.740666666666667,5.5
2,66.0,0.0,0.0,0.9620772946859902,13.11111111111111,3.4444444444444446,0.20870253771916478,0.4434115013074078,3.306888888888889,4.696,5.5
3,63.5,0.0,0.0,0.9657608695652173,12.0,4.0,0.21172109790386448,0.4498790426779068,3.306,4.649375,5.5
4,64.5,0.0,0.0,0.9671195652173914,13.25,3.375,0.21709178114921376,0.45484856887727243,3.288375,4.593,5.5
5,65.5,0.0,0.0,0.7350543478260869,0.0,0.0,0.21709178114921376,0.45484856887727243,3.288375,4.593,5.5
6,63.0,0.0,0.0,0.5321256038647343,0.0,0.0,0.21561184694962293,0.45343927554825275,3.2923333333333336,4.6146666666666665,5.5
