,sim_time,weekday,bed_utilisation,primary_arrivals,revision_arrivals,primary_bed_queue,revision_bed_queue,primary_mean_los,revision_mean_los,run
0,2,1,0.85,14,3,0.0,0.0,7.09,20.23,1
1,3,2,1.0,8,6,0.007591368845810119,0.06927234492367895,7.98,10.11,1
2,4,3,0.925,14,3,0.03828619071817592,0.07989651123802138,5.75,8.09,1
3,5,4,0.925,10,5,0.04142399200681557,0.08365208487216505,5.32,6.07,1
4,6,5,0.725,0,0,0.04142399200681557,0.08365208487216505,5.32,6.07,1
5,7,6,0.6,0,0,0.04142399200681557,0.08365208487216505,5.32,6.07,1
6,8,0,0.85,16,2,0.03270315158432808,0.08044987891590089,6.13,5.91,1
7,9,1,0.9,10,5,0.03370407796152049,0.08689789733651046,5.73,4.81,1
8,10,2,0.95,14,3,0.04096517877449277,0.08981925528579157,5.37,4.33,1
9,11,3,0.925,6,7,0.042467394713953104,0.09103381038214986,5.19,3.51,1
10,12,4,0.9,16,2,0.04707935103454361,0.09176119619583649,4.99,3.33,1
11,13,5,0.725,0,0,0.04707935103454361,0.09176119619583649,4.99,3.33,1
12,14,6,0.65,0,0,0.04707935103454361,0.09176119619583649,4.99,3.33,1
13,15,0,0.875,10,5,0.04351273353192667,0.08206705114727177,5.26,4.3,1
14,16,1,0.9,10,5,0.04537655738422113,0.0897407726866737,5.27,4.1,1
15,17,2,0.975,12,4,0.04803823445850021,0.09251811584585783,5.04,3.79,1
16,18,3,0.95,18,1,0.056359965669347666,0.09124549862259286,4.54,3.72,1
17,19,4,0.95,10,5,0.05901193216106621,0.09184811036120431,4.49,3.4,1
18,20,5,0.825,0,0,0.05901193216106621,0.09184811036120431,4.49,3.4,1
19,21,6,0.675,0,0,0.05901193216106621,0.09184811036120431,4.49,3.4,1
20,22,0,0.975,14,3,0.05568686613082296,0.09239577290176416,4.61,3.99,1
21,23,1,1.0,12,4,0.05754957925255794,0.09538327934316726,4.48,3.75,1
22,24,2,0.975,10,5,0.05949532599825794,0.09770190180255867,4.35,3.49,1
23,25,3,0.825,12,4,0.062090829806594215,0.10177433803610725,4.15,3.3,1
24,26,4,0.875,16,2,0.06121903577823969,0.10074220824762313,4.17,3.21,1
25,27,5,0.8,0,0,0.06121903577823969,0.10074220824762313,4.17,3.21,1
26,28,6,0.7,0,0,0.06121903577823969,0.10074220824762313,4.17,3.21,1
27,29,0,0.95,12,4,0.05837163876529831,0.10153745552814401,4.53,3.15,1
28,30,1,0.9,8,6,0.05973397849576886,0.1012613227903454,4.64,2.94,1
29,31,2,0.95,12,4,0.05868943262100069,0.10325297281199522,4.58,2.81,1
30,32,3,0.975,14,3,0.060003837840031826,0.10266357862202907,4.41,2.72,1
31,33,4,0.975,10,5,0.06214471578240054,0.10474291077585096,4.36,2.58,1
32,34,5,0.825,0,0,0.06214471578240054,0.10474291077585096,4.36,2.58,1
33,35,6,0.675,0,0,0.06214471578240054,0.10474291077585096,4.36,2.58,1
34,36,0,0.95,12,4,0.05976975849135339,0.10493468037713109,4.59,2.54,1
35,37,1,0.95,16,2,0.06175761161591859,0.1038633402972193,4.44,2.49,1
36,38,2,0.975,14,3,0.06279362516971224,0.10569670492096665,4.32,2.42,1
37,39,3,0.95,8,6,0.06265304379178466,0.10707796213794496,4.23,2.3,1
38,40,4,0.85,10,5,0.06322540950603611,0.10963824659840919,4.13,2.2,1
39,41,5,0.725,0,0,0.06322540950603611,0.10963824659840919,4.13,2.2,1
40,42,6,0.65,0,0,0.06322540950603611,0.10963824659840919,4.13,2.2,1
41,43,0,0.9,12,4,0.061196786741136565,0.10628513490614218,4.24,2.32,1
42,44,1,0.95,16,2,0.06299327935278343,0.10753075677770027,4.17,2.28,1
43,45,2,0.95,16,2,0.06367987645200071,0.10838711735767433,4.06,2.25,1
44,46,3,0.925,10,5,0.06489613292940008,0.10981298125026684,4.06,2.16,1
45,47,4,0.95,8,6,0.06467195401373942,0.11064381564903887,4.02,2.14,1
46,48,5,0.875,0,0,0.06467195401373942,0.11064381564903887,4.02,2.14,1
47,49,6,0.775,0,0,0.06467195401373942,0.11064381564903887,4.02,2.14,1
48,50,0,0.825,12,4,0.06353126202900097,0.11025571744178685,4.06,2.14,1
49,51,1,0.975,16,2,0.06422962062842971,0.11069247558663184,4.05,2.11,1
50,52,2,0.95,10,5,0.06491699229953259,0.11183101821791588,3.99,2.04,1
51,53,3,0.8,8,6,0.06528924705991357,0.11290646281065106,3.96,1.96,1
52,54,4,1.0,12,4,0.06459287714168245,0.1122362602515092,4.11,1.91,1
53,55,5,0.825,0,0,0.06459287714168245,0.1122362602515092,4.11,1.91,1
54,56,6,0.7,0,0,0.06459287714168245,0.1122362602515092,4.11,1.91,1
55,57,0,0.9,10,5,0.0632800137851442,0.11050521533687893,4.12,1.98,1
56,58,1,0.925,18,1,0.06379928560587404,0.11072658930420795,4.05,1.97,1
57,59,2,0.95,10,5,0.06382306463248633,0.11235632716225259,4.06,1.91,1
58,60,3,0.95,10,5,0.0640465283610626,0.11242496886864327,4.19,1.95,1
59,61,4,0.875,6,7,0.06419886591794202,0.11271979664856985,4.16,1.88,1
60,62,5,0.775,0,0,0.06419886591794202,0.11271979664856985,4.16,1.88,1
61,63,6,0.6,0,0,0.06419886591794202,0.11271979664856985,4.16,1.88,1
62,64,0,0.9,12,4,0.06279305133579731,0.1102957150002135,4.25,2.19,1
63,65,1,0.95,8,6,0.0629396102546472,0.11000287537640503,4.24,2.12,1
64,66,2,0.9,12,4,0.0635896444802788,0.10919488317151776,4.16,2.08,1
65,67,3,0.95,12,4,0.06359425458850348,0.10904238848815315,4.16,2.04,1
66,68,4,0.85,16,2,0.06489784726850556,0.10892080213102794,4.09,2.02,1
67,69,5,0.75,0,0,0.06489784726850556,0.10892080213102794,4.09,2.02,1
68,70,6,0.675,0,0,0.06489784726850556,0.10892080213102794,4.09,2.02,1
69,71,0,0.9,4,8,0.06446519495338218,0.10477143824032212,4.09,2.36,1
70,72,1,0.925,14,3,0.06501600097063868,0.105087644290769,4.07,2.33,1
71,73,2,0.95,8,6,0.06524916385277,0.1055924889148029,4.06,2.26,1
72,74,3,0.95,10,5,0.06573683333992421,0.1078889306235286,4.01,2.21,1
73,75,4,0.9,8,6,0.06613530601042863,0.1079437886315949,4.01,2.16,1
74,76,5,0.8,0,0,0.06613530601042863,0.1079437886315949,4.01,2.16,1
75,77,6,0.7,0,0,0.06613530601042863,0.1079437886315949,4.01,2.16,1
76,78,0,0.875,8,6,0.06531882075104063,0.10705684424527104,4.06,2.4,1
