,Day,DayLostSlots
0,0,0.0
1,1,0.0
2,2,0.2625
3,3,10.5
4,4,8.8125
5,5,0.0
6,6,0.0
7,7,0.3375
8,8,5.25
9,9,12.45
10,10,11.825
11,11,10.2125
12,12,0.0
13,13,0.0
14,14,0.825
15,15,10.8
16,16,10.6
17,17,11.1625
18,18,10.5625
19,19,0.0
20,20,0.0
21,21,2.0625
22,22,10.9125
23,23,14.5
24,24,9.275
25,25,9.1375
26,26,0.0
27,27,0.0
28,28,1.0625
29,29,8.3875
30,30,9.0125
31,31,14.2
32,32,13.2625
33,33,0.0
34,34,0.0
35,35,3.175
36,36,11.575
37,37,8.1375
38,38,10.3
39,39,12.25
40,40,0.0
41,41,0.0
42,42,1.7375
43,43,11.2625
44,44,8.55
45,45,9.6625
46,46,8.65
47,47,0.0
48,48,0.0
49,49,0.775
50,50,10.3
51,51,13.9375
52,52,11.2875
53,53,11.925
54,54,0.0
55,55,0.0
56,56,1.425
57,57,11.075
58,58,13.25
59,59,10.9375
60,60,10.4
61,61,0.0
62,62,0.0
63,63,3.025
64,64,11.3125
65,65,10.85
66,66,10.0375
67,67,8.5625
68,68,0.0
69,69,0.0
70,70,2.025
71,71,9.7125
72,72,14.15
73,73,8.775
74,74,10.7375
75,75,0.0
76,76,0.0
77,77,2.825
78,78,13.0625
79,79,14.2625
80,80,10.7125
81,81,9.3
82,82,0.0
83,83,0.0
84,84,2.4875
85,85,13.3125
86,86,8.925
87,87,9.9875
88,88,10.225
89,89,0.0
90,90,0.0
91,91,1.8125
92,92,12.95
93,93,15.6
94,94,12.6875
95,95,9.6125
96,96,0.0
97,97,0.0
98,98,1.4875
99,99,12.375
100,100,12.0125
101,101,11.3375
102,102,11.25
103,103,0.0
104,104,0.0
105,105,0.8875
106,106,12.4125
107,107,10.65
108,108,13.4
109,109,10.6875
110,110,0.0
111,111,0.0
112,112,1.1625
113,113,7.95
114,114,13.0
115,115,12.4625
116,116,10.425
117,117,0.0
118,118,0.0
119,119,1.6375
120,120,9.0
121,121,10.3875
122,122,11.8875
123,123,11.025
124,124,0.0
125,125,0.0
126,126,0.975
127,127,7.4375
128,128,11.625
129,129,9.175
130,130,11.4875
131,131,0.0
132,132,0.0
133,133,2.05
134,134,11.55
135,135,10.2125
136,136,13.525
137,137,11.6125
138,138,0.0
139,139,0.0
140,140,0.3375
141,141,10.175
142,142,13.2375
143,143,12.775
144,144,10.075
145,145,0.0
146,146,0.0
147,147,1.05
148,148,7.95
149,149,11.7625
150,150,10.0625
151,151,7.7875
152,152,0.0
153,153,0.0
154,154,2.1375
155,155,11.225
156,156,11.85
157,157,9.9375
158,158,13.1125
159,159,0.0
160,160,0.0
161,161,0.8375
162,162,9.0625
163,163,14.725
164,164,9.3125
165,165,9.9
166,166,0.0
167,167,0.0
168,168,2.4875
169,169,13.325
