,sim_time,weekday,bed_utilisation,primary_arrivals,revision_arrivals,primary_bed_queue,revision_bed_queue,primary_mean_los,revision_mean_los,run
0,2,1,0.717391304347826,16,2,0.0,0.0,4.65,23.56,1
1,3,2,0.9565217391304348,8,6,0.0,0.017219978377686605,6.92,16.98,1
2,4,3,0.9130434782608695,10,5,0.019345961229222778,0.05267642689469208,5.9,12.26,1
3,5,4,0.9130434782608695,10,5,0.026315751732238355,0.07087560546851257,5.43,9.59,1
4,6,5,0.6956521739130435,0,0,0.026315751732238355,0.07087560546851257,5.43,9.59,1
5,7,6,0.5,0,0,0.026315751732238355,0.07087560546851257,5.43,9.59,1
6,8,0,0.6739130434782609,10,5,0.022203915524076114,0.05821924734913532,5.57,11.07,1
7,9,1,0.9130434782608695,8,6,0.019736813799178767,0.04794526252281733,5.97,10.41,1
8,10,2,0.8913043478260869,14,3,0.030164428758911725,0.05206732635600655,5.26,9.56,1
9,11,3,0.9782608695652174,14,3,0.0354849946153547,0.06206146827085583,4.73,8.85,1
10,12,4,0.8695652173913043,12,4,0.040588290443089634,0.06227205939256802,4.3,8.04,1
11,13,5,0.7391304347826086,0,0,0.040588290443089634,0.06227205939256802,4.3,8.04,1
12,14,6,0.6086956521739131,0,0,0.040588290443089634,0.06227205939256802,4.3,8.04,1
13,15,0,0.8478260869565217,12,4,0.036660391367951926,0.05708272110985402,4.42,8.73,1
14,16,1,0.9130434782608695,14,3,0.039527039080359476,0.06105317984780018,4.18,8.22,1
15,17,2,0.8695652173913043,10,5,0.04153157918400862,0.06853617596768825,4.28,7.48,1
16,18,3,0.8695652173913043,12,4,0.043408034290082366,0.07679502928702003,4.21,6.99,1
17,19,4,0.9565217391304348,12,4,0.04472514158262294,0.0760870847728792,4.21,6.55,1
18,20,5,0.8478260869565217,0,0,0.04472514158262294,0.0760870847728792,4.21,6.55,1
19,21,6,0.6304347826086957,0,0,0.04472514158262294,0.0760870847728792,4.21,6.55,1
20,22,0,0.8913043478260869,14,3,0.04135873307640401,0.07268020038006372,4.23,6.91,1
