,sim_time,weekday,bed_utilisation,primary_arrivals,revision_arrivals,primary_bed_queue,revision_bed_queue,primary_mean_los,revision_mean_los,run
0,14,6,0.6086956521739131,0,0,0.03274179262662817,0.0543298443488934,4.3,4.22,1
1,15,0,0.8695652173913043,16,2,0.029153650968915493,0.05139309600570997,4.25,4.45,1
2,16,1,0.9130434782608695,10,5,0.03005600556545774,0.05968035666913768,4.13,3.92,1
3,17,2,0.8260869565217391,8,6,0.030591568197928944,0.06354729990480022,4.26,3.43,1
4,18,3,0.8913043478260869,18,1,0.035293084946590905,0.06266045425168836,4.11,3.36,1
5,19,4,0.8478260869565217,12,4,0.037479923388171896,0.06857486747597372,4.25,3.1,1
6,20,5,0.6956521739130435,0,0,0.037479923388171896,0.06857486747597372,4.25,3.1,1
7,21,6,0.5217391304347826,0,0,0.037479923388171896,0.06857486747597372,4.25,3.1,1
8,22,0,0.8043478260869565,8,6,0.03599556998666014,0.06160115213943402,4.38,4.23,1
9,23,1,0.9565217391304348,8,6,0.034624310177644516,0.06737739747355437,4.42,4.24,1
10,24,2,0.8913043478260869,12,4,0.039735976981244564,0.07065643032369832,4.41,4.0,1
11,25,3,0.8913043478260869,12,4,0.04169692607757911,0.07574474346979619,4.35,3.87,1
12,26,4,0.9130434782608695,8,6,0.04106559392139491,0.08236137281255032,4.37,3.68,1
13,27,5,0.8260869565217391,0,0,0.04106559392139491,0.08236137281255032,4.37,3.68,1
14,28,6,0.6521739130434783,0,0,0.04106559392139491,0.08236137281255032,4.37,3.68,1
15,29,0,0.9130434782608695,12,4,0.03912548712195893,0.07839215002640332,4.39,3.86,1
16,30,1,0.9347826086956522,10,5,0.039653034150007704,0.08051109253445578,4.29,3.64,1
17,31,2,0.9347826086956522,14,3,0.04201856049921317,0.08330664562632552,4.17,3.52,1
18,32,3,0.8260869565217391,16,2,0.04302863828008314,0.08514238788906506,4.04,3.45,1
19,33,4,0.8913043478260869,8,6,0.04188880680246504,0.08776631546274176,4.35,3.29,1
20,34,5,0.7608695652173914,0,0,0.04188880680246504,0.08776631546274176,4.35,3.29,1
21,35,6,0.5869565217391305,0,0,0.04188880680246504,0.08776631546274176,4.35,3.29,1
22,36,0,0.8478260869565217,10,5,0.040546216840847575,0.08354678106549455,4.38,3.65,1
23,37,1,0.8478260869565217,18,1,0.04160382016636273,0.0832562328033012,4.23,3.61,1
24,38,2,0.9347826086956522,12,4,0.04217888052750738,0.08616352835430958,4.22,3.48,1
25,39,3,0.8478260869565217,12,4,0.043486645388931315,0.08761935437104218,4.12,3.36,1
26,40,4,0.9347826086956522,14,3,0.04520417578085896,0.08881210441560598,4.15,3.27,1
27,41,5,0.8043478260869565,0,0,0.04520417578085896,0.08881210441560598,4.15,3.27,1
0,14,6,0.5,0,0,0.03922747154864843,0.09184839338365132,4.46,3.84,2
1,15,0,0.7608695652173914,16,2,0.03492857055701573,0.0868836153629134,4.62,4.03,2
2,16,1,0.9130434782608695,10,5,0.032689559623873696,0.08446741226280326,4.74,3.97,2
3,17,2,0.9782608695652174,8,6,0.033155315385832225,0.08741153504180758,4.64,3.48,2
4,18,3,0.8695652173913043,18,1,0.037212895692872595,0.08596215816547795,4.24,3.41,2
5,19,4,0.8695652173913043,12,4,0.03838093668731735,0.08708953045748832,4.31,3.15,2
6,20,5,0.8043478260869565,0,0,0.03838093668731735,0.08708953045748832,4.31,3.15,2
7,21,6,0.6304347826086957,0,0,0.03838093668731735,0.08708953045748832,4.31,3.15,2
8,22,0,0.8260869565217391,8,6,0.03686089959078993,0.07823296803808273,4.33,3.9,2
9,23,1,0.8913043478260869,8,6,0.03545667484447412,0.07699613261669465,4.38,4.0,2
10,24,2,0.9782608695652174,12,4,0.0371076810819056,0.08108963039832577,4.54,3.76,2
11,25,3,0.9565217391304348,12,4,0.04226745874881323,0.08241309414738274,4.33,3.56,2
12,26,4,0.8695652173913043,8,6,0.04333866544711483,0.08427957014065499,4.22,3.29,2
13,27,5,0.6956521739130435,0,0,0.04333866544711483,0.08427957014065499,4.22,3.29,2
14,28,6,0.5,0,0,0.04333866544711483,0.08427957014065499,4.22,3.29,2
15,29,0,0.7608695652173914,12,4,0.04129116944173932,0.08021790410978005,4.38,3.5,2
16,30,1,0.9565217391304348,10,5,0.03972710999318859,0.0811293526411926,4.41,3.5,2
17,31,2,0.9565217391304348,14,3,0.04044676796200609,0.08249701293168982,4.35,3.39,2
18,32,3,0.9130434782608695,16,2,0.04543627166183417,0.0846047711604898,4.2,3.31,2
19,33,4,0.9130434782608695,8,6,0.04497660080916179,0.08547084681952045,4.22,3.11,2
20,34,5,0.782608695652174,0,0,0.04497660080916179,0.08547084681952045,4.22,3.11,2
21,35,6,0.6521739130434783,0,0,0.04497660080916179,0.08547084681952045,4.22,3.11,2
22,36,0,0.7391304347826086,10,5,0.04353504309091943,0.08136167149165889,4.26,3.53,2
23,37,1,0.9782608695652174,18,1,0.043193702764928794,0.08141371069941224,4.18,3.5,2
24,38,2,0.8913043478260869,12,4,0.045490733930703214,0.08388328548039968,4.06,3.37,2
25,39,3,0.8695652173913043,12,4,0.04664052367317534,0.08487359329725315,4.03,3.25,2
26,40,4,0.8913043478260869,14,3,0.04657378978761035,0.08567465043292725,4.0,3.16,2
27,41,5,0.6521739130434783,0,0,0.04657378978761035,0.08567465043292725,4.0,3.16,2
0,14,6,0.5434782608695652,0,0,0.04277828690878537,0.07247300499314525,4.05,3.89,3
1,15,0,0.8260869565217391,16,2,0.0380902554667267,0.06855554526378606,4.31,3.9,3
2,16,1,0.8695652173913043,10,5,0.0362468722229282,0.07861665585680509,4.22,3.54,3
3,17,2,0.8695652173913043,8,6,0.0352442282901804,0.08307737438106337,4.2,3.26,3
4,18,3,0.8478260869565217,18,1,0.03791189322757041,0.08176149612088798,4.05,3.19,3
5,19,4,0.8260869565217391,12,4,0.03793822993589584,0.08470922908353967,4.02,2.95,3
6,20,5,0.7608695652173914,0,0,0.03793822993589584,0.08470922908353967,4.02,2.95,3
7,21,6,0.5869565217391305,0,0,0.03793822993589584,0.08470922908353967,4.02,2.95,3
8,22,0,0.8478260869565217,8,6,0.036435725780018774,0.07609473121063733,4.06,3.42,3
9,23,1,0.9565217391304348,8,6,0.035650478462407736,0.08284376792463023,4.05,3.34,3
10,24,2,0.9130434782608695,12,4,0.04054792962990708,0.08570695157440957,3.93,3.14,3
11,25,3,0.7608695652173914,12,4,0.04092189194790959,0.08842766814462198,3.9,2.97,3
12,26,4,0.9347826086956522,8,6,0.03956910213144977,0.08503059736160305,3.96,3.17,3
13,27,5,0.782608695652174,0,0,0.03956910213144977,0.08503059736160305,3.96,3.17,3
14,28,6,0.6521739130434783,0,0,0.03956910213144977,0.08503059736160305,3.96,3.17,3
15,29,0,0.8260869565217391,12,4,0.03769969573153876,0.08093273724779086,4.07,3.85,3
16,30,1,0.9347826086956522,10,5,0.037323287184167386,0.08357552994930467,4.03,3.63,3
17,31,2,0.8478260869565217,14,3,0.040746593461039975,0.08630087539073956,3.9,3.51,3
18,32,3,0.9347826086956522,16,2,0.04193715542704723,0.08551227591536581,3.8,3.43,3
19,33,4,0.8260869565217391,8,6,0.04132565872197893,0.0889253113429722,3.81,3.22,3
20,34,5,0.6304347826086957,0,0,0.04132565872197893,0.0889253113429722,3.81,3.22,3
21,35,6,0.391304347826087,0,0,0.04132565872197893,0.0889253113429722,3.81,3.22,3
22,36,0,0.5652173913043478,10,5,0.040001118378325755,0.0846500559899447,3.87,3.58,3
23,37,1,0.9347826086956522,18,1,0.037819239194053444,0.08384386498051664,4.08,3.65,3
24,38,2,0.9782608695652174,12,4,0.039816785457618825,0.08516049218263151,4.0,3.51,3
25,39,3,0.8478260869565217,12,4,0.043673466416774186,0.08861661881793745,3.88,3.39,3
26,40,4,0.8695652173913043,14,3,0.04498925635047645,0.08820041600802107,3.83,3.3,3
27,41,5,0.6521739130434783,0,0,0.04498925635047645,0.08820041600802107,3.83,3.3,3
0,14,6,0.5,0,0,0.03384676241809855,0.07704661616246337,4.35,2.92,4
1,15,0,0.8043478260869565,16,2,0.03013752818049871,0.07288193420773562,4.52,3.1,4
2,16,1,0.8695652173913043,10,5,0.02898867944190682,0.07997163627181732,4.48,2.73,4
3,17,2,0.8695652173913043,8,6,0.028694134914928924,0.08542225889059092,4.4,2.85,4
4,18,3,0.8260869565217391,18,1,0.03176803297483112,0.08495470650060072,4.2,2.79,4
5,19,4,0.8043478260869565,12,4,0.030902661664894755,0.08555319025189159,4.22,2.58,4
6,20,5,0.6521739130434783,0,0,0.030902661664894755,0.08555319025189159,4.22,2.58,4
