sim_time,weekday,bed_utilisation_primary,bed_utilisation_revision,bed_utilisation,primary_arrivals,revision_arrivals,primary_bed_queue,revision_bed_queue,primary_mean_los,revision_mean_los,run
35,6.0,0.0,0.0,0.5565217391304348,0.0,0.0,0.20377237335289666,0.4421649289160953,3.3240000000000003,4.788,5.5
36,0.0,0.0,0.0,0.7456521739130435,14.0,3.0,0.19502141253406063,0.42848972492899956,3.34,4.837000000000001,5.5
37,1.0,0.0,0.0,0.9391304347826086,12.0,4.0,0.18880192868321521,0.42346449858675017,3.3549999999999995,4.928,5.5
38,2.0,0.0,0.0,0.9521739130434783,12.0,4.0,0.19257943922935541,0.43390351386225695,3.349,4.872999999999999,5.5
39,3.0,0.0,0.0,0.9760869565217393,12.0,4.0,0.19923778164222428,0.44461639597402147,3.3619999999999997,4.7410000000000005,5.5
40,4.0,0.0,0.0,0.9782608695652174,14.0,3.0,0.2086634040112616,0.45256573581203785,3.3240000000000003,4.63,5.5
41,5.0,0.0,0.0,0.7413043478260869,0.0,0.0,0.2086634040112616,0.45256573581203785,3.3240000000000003,4.63,5.5
42,6.0,0.0,0.0,0.5478260869565218,0.0,0.0,0.2086634040112616,0.45256573581203785,3.3240000000000003,4.63,5.5
43,0.0,0.0,0.0,0.717391304347826,12.0,4.0,0.2022098966707071,0.437134566893085,3.3299999999999996,4.76,5.5
44,1.0,0.0,0.0,0.9065217391304348,14.0,3.0,0.1960177963684069,0.433861935336237,3.351,4.811999999999999,5.5
45,2.0,0.0,0.0,0.9565217391304348,12.0,4.0,0.19744724554407206,0.4409737944325238,3.347,4.744,5.5
46,3.0,0.0,0.0,0.9586956521739131,12.0,4.0,0.20157689509513474,0.45009191782918306,3.338,4.668,5.5
47,4.0,0.0,0.0,0.976086956521739,16.0,2.0,0.21117676877175753,0.4542029844060046,3.2920000000000003,4.626,5.5
48,5.0,0.0,0.0,0.7456521739130435,0.0,0.0,0.21117676877175753,0.4542029844060046,3.2920000000000003,4.626,5.5
49,6.0,0.0,0.0,0.5260869565217392,0.0,0.0,0.21117676877175753,0.4542029844060046,3.2920000000000003,4.626,5.5
50,0.0,0.0,0.0,0.7239130434782608,14.0,3.0,0.20469327148490532,0.4438801893058682,3.2960000000000003,4.678,5.5
51,1.0,0.0,0.0,0.9217391304347826,18.0,1.0,0.2019764391425424,0.4450471643275919,3.304,4.667,5.5
52,2.0,0.0,0.0,0.9586956521739131,16.0,2.0,0.20824334290311758,0.44931997632385723,3.281,4.641,5.5
53,3.0,0.0,0.0,0.9586956521739131,10.0,5.0,0.20977736772843353,0.4570193716116261,3.2909999999999995,4.634,5.5
54,4.0,0.0,0.0,0.941304347826087,12.0,4.0,0.2125893716242125,0.4617232387214954,3.2920000000000003,4.589,5.5
55,5.0,0.0,0.0,0.717391304347826,0.0,0.0,0.2125893716242125,0.4617232387214954,3.2920000000000003,4.589,5.5
56,6.0,0.0,0.0,0.5152173913043478,0.0,0.0,0.2125893716242125,0.4617232387214954,3.2920000000000003,4.589,5.5
57,0.0,0.0,0.0,0.6478260869565218,6.0,7.0,0.21012694647026406,0.4403188501714923,3.3020000000000005,4.7219999999999995,5.5
58,1.0,0.0,0.0,0.8782608695652174,14.0,3.0,0.20473908924656148,0.43410283046976234,3.309,4.785,5.5
59,2.0,0.0,0.0,0.9826086956521738,12.0,4.0,0.20528041814554876,0.4420250638228859,3.3259999999999996,4.708,5.5
60,3.0,0.0,0.0,0.976086956521739,10.0,5.0,0.2097139656559397,0.45056644498457726,3.316,4.627000000000001,5.5
61,4.0,0.0,0.0,0.9695652173913043,16.0,2.0,0.21796964112833034,0.4538657052154827,3.2909999999999995,4.576,5.5
62,5.0,0.0,0.0,0.7695652173913043,0.0,0.0,0.21796964112833034,0.4538657052154827,3.2909999999999995,4.576,5.5
63,6.0,0.0,0.0,0.5239130434782608,0.0,0.0,0.21796964112833034,0.4538657052154827,3.2909999999999995,4.576,5.5
64,0.0,0.0,0.0,0.7652173913043478,16.0,2.0,0.21202822713973962,0.44860626237102014,3.304,4.629,5.5
65,1.0,0.0,0.0,0.9130434782608695,10.0,5.0,0.2087146008023307,0.44485267220226976,3.312,4.696,5.5
66,2.0,0.0,0.0,0.9673913043478262,12.0,4.0,0.2098911396814319,0.45074787942147887,3.314,4.654999999999999,5.5
67,3.0,0.0,0.0,0.976086956521739,16.0,2.0,0.21622722139961392,0.4538050633580707,3.2960000000000003,4.616,5.5
68,4.0,0.0,0.0,0.9673913043478262,12.0,4.0,0.219565828439452,0.459123992897487,3.293,4.55,5.5
69,5.0,0.0,0.0,0.7347826086956522,0.0,0.0,0.219565828439452,0.459123992897487,3.293,4.55,5.5
70,6.0,0.0,0.0,0.5369565217391304,0.0,0.0,0.219565828439452,0.459123992897487,3.293,4.55,5.5
71,0.0,0.0,0.0,0.7195652173913043,8.0,6.0,0.21683830262032835,0.4444710995071417,3.2939999999999996,4.667,5.5
72,1.0,0.0,0.0,0.8956521739130434,12.0,4.0,0.21302690623846404,0.44058582378814537,3.2990000000000004,4.715,5.5
73,2.0,0.0,0.0,0.9673913043478262,14.0,3.0,0.21572771232878402,0.44458154926523336,3.29,4.654999999999999,5.5
74,3.0,0.0,0.0,0.9478260869565217,10.0,5.0,0.21731751017396075,0.45082890542983006,3.2969999999999997,4.6240000000000006,5.5
75,4.0,0.0,0.0,0.9717391304347827,14.0,3.0,0.22243114385503732,0.4553131755235461,3.277,4.585,5.5
76,5.0,0.0,0.0,0.7195652173913043,0.0,0.0,0.22243114385503732,0.4553131755235461,3.277,4.585,5.5
